id,first_name,second_name,team,team_code,element_type,total_points,event_points,points_per_game,form,ep_this,ep_next,selected_by_percent,now_cost,cost_change_start,cost_change_start_fall,cost_change_event,cost_change_event_fall,value_form,value_season,transfers_in_event,transfers_in,transfers_out,transfers_out_event,in_dreamteam,creativity,special,ict_index,influence,creativity_rank_type,bonus,chance_of_playing_next_round,bps,threat_rank_type,ict_index_rank_type,influence_rank,threat,creativity_rank,chance_of_playing_this_round,threat_rank,ict_index_rank,dreamteam_count,influence_rank_type
13,Edward,Nketiah,1,3,4,25,1,1.9,0.8,1.3,1.0,1.6,43,-2,2,0,0,0.2,5.8,0,338091,333897,0,False,67.0,False,36.4,90.4,49,1,100,66,52,51,389,210.0,319,100,191,340,0,48
id,first_name,second_name,team,team_code,element_type,total_points,event_points,points_per_game,form,ep_this,ep_next,selected_by_percent,now_cost,cost_change_start,cost_change_start_fall,cost_change_event,cost_change_event_fall,value_form,value_season,transfers_in_event,transfers_in,transfers_out,transfers_out_event,in_dreamteam,creativity,special,ict_index,influence,creativity_rank_type,bonus,chance_of_playing_next_round,bps,threat_rank_type,ict_index_rank_type,influence_rank,threat,creativity_rank,chance_of_playing_this_round,threat_rank,ict_index_rank,dreamteam_count,influence_rank_type
14,Bernd,Leno,1,3,1,114,0,3.8,0.0,0.0,0.0,4.2,48,-2,2,0,0,0.0,23.8,0,737120,865543,0,False,0.0,False,84.1,843.2,66,10,100,591,63,8,25,0.0,635,0,629,190,1,8
id,first_name,second_name,team,team_code,element_type,total_points,event_points,points_per_game,form,ep_this,ep_next,selected_by_percent,now_cost,cost_change_start,cost_change_start_fall,cost_change_event,cost_change_event_fall,value_form,value_season,transfers_in_event,transfers_in,transfers_out,transfers_out_event,in_dreamteam,creativity,special,ict_index,influence,creativity_rank_type,bonus,chance_of_playing_next_round,bps,threat_rank_type,ict_index_rank_type,influence_rank,threat,creativity_rank,chance_of_playing_this_round,threat_rank,ict_index_rank,dreamteam_count,influence_rank_type
15,Mesut,Özil,1,3,3,53,0,2.9,0.0,0.5,0.5,1.1,69,-6,6,0,0,0.0,7.7,0,246324,307866,0,False,582.9,False,99.8,223.6,32,1,100,256,110,79,300,190.0,39,100,205,153,0,126
id,first_name,second_name,team,team_code,element_type,total_points,event_points,points_per_game,form,ep_this,ep_next,selected_by_percent,now_cost,cost_change_start,cost_change_start_fall,cost_change_event,cost_change_event_fall,value_form,value_season,transfers_in_event,transfers_in,transfers_out,transfers_out_event,in_dreamteam,creativity,special,ict_index,influence,creativity_rank_type,bonus,chance_of_playing_next_round,bps,threat_rank_type,ict_index_rank_type,influence_rank,threat,creativity_rank,chance_of_playing_this_round,threat_rank,ict_index_rank,dreamteam_count,influence_rank_type
16,Henrikh,Mkhitaryan,1,3,3,4,0,1.3,0.0,0.0,0.0,0.7,67,-3,3,0,0,0.0,0.6,0,23270,117383,0,False,33.9,False,8.6,5.4,184,0,0,3,170,185,480,46.0,371,0,355,431,0,203
id,first_name,second_name,team,team_code,element_type,total_points,event_points,points_per_game,form,ep_this,ep_next,selected_by_percent,now_cost,cost_change_start,cost_change_start_fall,cost_change_event,cost_change_event_fall,value_form,value_season,transfers_in_event,transfers_in,transfers_out,transfers_out_event,in_dreamteam,creativity,special,ict_index,influence,creativity_rank_type,bonus,chance_of_playing_next_round,bps,threat_rank_type,ict_index_rank_type,influence_rank,threat,creativity_rank,chance_of_playing_this_round,threat_rank,ict_index_rank,dreamteam_count,influence_rank_type
18,Granit,Xhaka,1,3,3,73,1,2.4,2.0,2.5,4.0,0.8,51,-4,4,0,0,0.4,14.3,0,82616,138134,0,False,298.5,False,89.9,486.2,86,2,100,408,136,90,140,110.0,140,100,267,177,0,53
