78,Jordon,Ibe,3,3,91,Contract with club expired on 30/6,2020-06-25T16:00:21.420735Z,,Ibe,103912.jpg,u,103912
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
79,Lewis,Cook,3,3,91,,2020-02-29T17:30:25.441741Z,,Lewis Cook,155408.jpg,a,155408
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
80,Andrew,Surman,3,3,91,,2019-12-20T11:00:16.393267Z,,Surman,15237.jpg,a,15237
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
81,Dan,Gosling,3,3,91,,2019-07-30T10:30:13.907385Z,,Gosling,40387.jpg,a,40387
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
82,Jefferson,Lerma,3,3,91,,2020-02-22T17:30:19.416565Z,,Lerma,152551.jpg,a,152551
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
446,Jack,Stacey,2,3,91,,2019-12-28T15:00:27.078393Z,,Stacey,154131.jpg,a,154131
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
476,Philip,Billing,3,3,91,,2020-06-24T19:30:22.461425Z,,Billing,168991.jpg,a,168991
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
492,Arnaut,Danjuma Groeneveld,3,3,91,,2019-12-15T13:00:23.507388Z,,Danjuma,220307.jpg,a,220307
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
494,Aaron,Ramsdale,1,3,91,,2020-01-12T14:00:23.328650Z,,Ramsdale,225321.jpg,a,225321
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
505,Harry,Wilson,3,3,91,,2020-03-01T19:00:16.835481Z,,Harry Wilson,153682.jpg,a,153682
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
564,Christian,Saydee,3,3,91,,,,Saydee,461017.jpg,a,461017
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
565,Gavin,Kilkenny,3,3,91,,,,Kilkenny,444183.jpg,a,444183
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
574,Mihai-Alexandru,Dobre,3,3,91,Joined Wigan Athletic on loan until the end of the season on 31/1. - Expected back 01 Aug,2020-02-01T00:00:22.909965Z,,Dobre,207300.jpg,n,207300
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
37,Shane,Duffy,2,4,36,,2020-01-30T15:00:21.405457Z,,Duffy,61933.jpg,a,61933
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
38,Martín,Montoya,2,4,36,,2019-09-14T16:30:10.724610Z,,Montoya,86153.jpg,a,86153
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
39,Bernardo,Fernandes da Silva Junior,2,4,36,,2019-09-14T16:30:10.738160Z,,Bernardo,209362.jpg,a,209362
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
40,Leon,Balogun,2,4,36,Joined Wigan Athletic on a permanent deal on 25/6,2020-02-01T00:00:21.930237Z,,Balogun,52484.jpg,u,52484
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
41,Gaëtan,Bong,2,4,36,Joined Nottingham Forest on a permanent deal on 30/1,2020-01-31T01:30:13.684095Z,,Bong,42748.jpg,u,42748
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
42,Lewis,Dunk,2,4,36,,2019-12-26T12:30:21.551588Z,,Dunk,83299.jpg,a,83299
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
43,Matthew,Clarke,2,4,36,Joined Derby County on loan until the end of the season on 2/8. - Expected back 01 Aug,2019-08-02T11:00:13.040927Z,,Clarke,178173.jpg,n,178173
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
44,Glenn,Murray,4,4,36,,2020-01-05T01:00:11.784092Z,,Murray,20529.jpg,a,20529
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
45,Jürgen,Locadia,4,4,36,Joined FC Cincinnatti on loan until the end of the season on 12/2. - Expected back 01 Aug,2020-02-13T00:30:19.910430Z,,Locadia,106757.jpg,n,106757
id,first_name,second_name,element_type,team,team_code,news,news_added,squad_number,web_name,photo,status,code
